ID,Date,Democrat,Republican,Mode,538 Rating,Sample Subpopulation,MoE,Source,Url,Headline
1,1/24/2017,0.48,0.4,IVR/Online,B+,Likely Voters,3,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_12617.pdf,Trump Revives Keystone Pipeline
2,1/31/2017,0.45,0.42,IVR/Online,B+,Likely Voters,3.6,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_12617.pdf,Open enrollment closes for Affordable Care Act
3,2/8/2017,0.49,0.41,IVR/Online,B+,Likely Voters,3.7,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_12617.pdf,Travel Ban remains blocked
4,2/22/2017,0.46,0.43,IVR/Online,B+,Likely Voters,3.2,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_22417.pdf,Rex Tillerson travels to Mexico
5,3/12/2017,0.46,0.41,IVR/Online,B+,Likely Voters,3.4,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_31517.pdf,Economic Steam Pits Trump Goal Against Wary Fed
6,3/27/2017,0.47,0.38,Live Phone,A,Registered Voters,3.3,McClatchy/Marist,https://www.documentcloud.org/documents/3532285-McClatchy-Marist-Poll-National-Nature-of-the.html,Grim Toll in Mosul Reflects New Urgency in ISIS Fight
7,3/28/2017,0.48,0.43,IVR/Online,B+,Likely Voters,3.8,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_33017.pdf,Trump Signs Rule to Block Efforts on Aiding Climate
8,4/1/2017,0.41,0.39,Internet,B-,Registered Voters,2,Morning Consult,https://morningconsult.com/wp-content/uploads/2017/04/170401_crosstabs_Politico_v3_AG-1.pdf,Divide in G.O.P. Now Threatens Trump Tax Plan
9,4/9/2017,0.43,0.4,Internet,B-,Registered Voters,2,Morning Consult,https://www.politico.com/f/?id=0000015b-5fb9-da80-afdf-dfffc1540000,Tillerson Halts Any Thawing of Russia Ties
10,4/11/2017,0.4,0.37,Internet,B,Adults,3.2,YouGov,https://yougov.co.uk/news/2017/04/11/voting-intention-conservatives-42-labour-25-5-6-ap/,White House Says Russia Is Engaged in Covering Up SyriansÃ¢â‚¬â„¢ Chemical Attack
11,4/12/2017,0.45,0.38,Live Phone,A,Registered Voters,3.3,McClatchy/Marist,http://www.mcclatchydc.com/news/politics-government/white-house/article134111259.html,U.S. Takes Sharper Tone on RussiaÃ¢â‚¬â„¢s Role In Syria
12,4/15/2017,0.4,0.4,Internet,B-,Registered Voters,2,Morning Consult,https://morningconsult.com/wp-content/uploads/2017/04/170407_crosstabs_Politico_v5_TS.pdf,Raft of Potential Conflicts in PresidentÃ¢â‚¬â„¢s Appointees
13,4/18/2017,0.47,0.41,IVR/Online,B+,Likely Voters,3.9,Public Policy Polling (D),https://www.publicpolicypolling.com/wp-content/uploads/2017/09/PPP_Release_National_42017.pdf,Aircraft Carrier Was Not Heading Where U.S. Said
14,4/18/2017,0.38,0.32,Internet,B,Adults,3.1,YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3y1jngdqn7/econTabReport.pdf,Aircraft Carrier Was Not Heading Where U.S. Said
15,4/20/2017,0.47,0.43,Phone,A-,Registered Voters,3.3,NBC/Wall Street Journal,https://www.wsj.com/articles/americans-dissatisfaction-with-speaker-paul-ryan-congress-overall-is-growing-poll-finds-14930676123.,
16,4/20/2017,0.47,0.42,IVR/Online,B-,Registered Voters,2.4,Gravis Marketing,https://elections.huffingtonpost.com/pollster/polls/gravis-marketing-orlando-political-observer-27542,Ex-Trump AideÃ¢â‚¬â„¢s Russia Trip Sent F.B.I. Digging
17,4/24/2017,0.4,0.44,Internet,B-,Registered Voters,2,Politico,https://morningconsult.com/wp-content/uploads/2017/04/170409_crosstabs_Politico_v1_AG-2.pdf,"White House Memo: Trump Rejects 100-Day Test, Yet Seeks an A"
18,4/25/2017,0.47,0.42,Live Phone,A,Registered Voters,3,Anderson Robbins Research/Shaw & Company Research,http://www.foxnews.com/politics/slideshow/2017/04/26/fox-news-poll-president-trumps-first-100-days.html,White HouseÃ¢â‚¬â„¢s Tax Plan Puts Business at the Fore
19,4/25/2017,0.39,0.34,Internet,B,Adults,3.2,YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vndekayz1x/econTabReport.pdf,White HouseÃ¢â‚¬â„¢s Tax Plan Puts Business at the Fore
20,4/25/2017,0.49,0.41,Live Phone,A-,Adults,3,Opinion Research Corp,"http://i2.cdn.turner.com/cnn/2017/images/04/28/rel5c.-.congress,.health.care.pdf",White HouseÃ¢â‚¬â„¢s Tax Plan Puts Business at the Fore
21,4/30/2017,0.41,0.41,Internet,B-,Registered Voters,2,Politico,https://morningconsult.com/author/mc-polls/,Bipartisan Agreement Reached to Fund Government Through September
